,5c58799afaea1331935fda2c,5c587a02faea1331f3c8f128,5c587a19faea1331fba7adef,5c587a34faea133204da79f8,5c587a42faea133204da7a08,5c587a49faea133204da7a12,5c587a4efaea133204da7a19,5c587a5afaea133204da7a28,5c587a64faea133204da7a35,5c587a6bfaea133204da7a3f,5c587a78faea133204da7a4f,5c587a84faea133204da7a5f,5c587a8ffaea133204da7a6d,5c587a94faea133204da7a75,5c587a9efaea133204da7a82,5c587aa5faea133204da7a8b,5c587aa9faea133204da7a91,5c587ab8faea133204da7aa5,5c587abffaea133204da7aae,5c587acdfaea133204da7abf,5c587adcfaea133204da7ad0,5c587ae8faea133204da7ade,5c587aeefaea133204da7ae5,5c595355faea134a77ea150e
5c559fa6faea1375ab89e69a,,,,,,,,,,,,,,,,,,,0.013477119566424722,,,,,
5c559fa7faea1375ab89e69e,,,,,,,,,,,,,,,,,,,,,-0.3502097988550865,,,
5c559fa8faea1375ab89e6a2,,,,,-0.5289937078275968,,,,,,,,,,,,,,,,,,,
5c559facfaea1375ab89e6ae,,,,,,,,,,,,,,,,,-0.40030752291927874,,,,,,,-0.18568829374034834
5c559faefaea1375ab89e6b3,,,,,,,,,,,,,,,,,,,-0.6595207930810298,,,,,
5c559fb2faea1375ab89e6c2,,,,,,,,,,,0.22311784269775892,,,,,,,,,,,,,
5c559fb4faea1375ab89e6c8,,,,,,,,,,,,,,,,,,-0.2838398289289281,,,,,,
5c559fb5faea1375ab89e6cc,,,,,,,,,,,,,,,,,,,-0.8508937345550192,,,,,
5c559fb7faea1375ab89e6d2,,,,0.23270868204737338,,,-0.12924882712274188,,,,,,,,,,,,,,,,,
5c559fb8faea1375ab89e6d6,,,,,,,,-0.42133561190664404,,,,,,,,,,,,,,,,
5c559fb9faea1375ab89e6d8,,,0.4240253987610063,,,,,,,,,,,,,,,,,,,,,
5c559fbafaea1375ab89e6db,,,,,,,,,,,,,,,,,,,,,,,,-0.0799765162106123
5c559fbcfaea1375ab89e6e4,,,,,,,,,,,,,,,,,1.1458234775265672,,,,,,,
5c559fbdfaea1375ab89e6e5,,,,,,,,,,,,,,,,,,,-0.42846464795559447,,,,,
5c559fbdfaea1375ab89e6e6,,,,,,,,,,,,,,,-0.20063484080020189,,,,,,,,,
5c559fbefaea1375ab89e6ea,,,,,,,,,,,,,,,,,,,,,,,0.398483097945443,
5c559fc0faea1375ab89e6f0,,,,,,-0.08113851666004468,,,,,,,,,,,,,,,,,,
5c559fc2faea1375ab89e6f8,,,,,0.8762384180764458,,,,,,,,,,,,,,,,,,,
5c559fc3faea1375ab89e6fa,,,,,,,,,-0.2671508339778432,,,-0.009397210754445773,,0.013804552826591543,,,,,,,,,,
5c559fc3faea1375ab89e6fc,,,,,,,,,,,-0.18400769300987685,,,,,,,,,,,,,
5c559fc4faea1375ab89e6fe,,,,,,,,,,,,,,,,,,,-0.6024575592096992,,,,,
5c559fc7faea1375ab89e708,,,,,,,,,,,,,,,,,,,,,,,,0.4211746446025897
5c559fc8faea1375ab89e70e,,,,,,,,,,,,,,,,-0.33747415048170737,,,,,,,,
5c559fcafaea1375ab89e714,,,,,,,,-0.10643366566145795,,,,,,,,,,,,,,,,
5c559fcbfaea1375ab89e717,,,,,,,,,,,,,,,,,,,-0.0024167704886548513,,,,,
